,stop_number,stop_address
1683,1984,"Naas Road, Luas Bluebell"
1684,1985,"Naas Road, Luas Blackhorse"
1685,1986,"Tyrconnell Rd, Ring Terrace"
1686,1987,"Tyrconnell Rd, Oblates Church"
1687,1988,"Tyrconnell Rd, Hampton Court"
1688,1989,"Emmet Road, Camac Close"
1689,1990,"Emmet Road, Myra Cottages"
1690,1992,"Emmet Road, South Circular Road"
1691,1993,"Old Kilmainham, Kearns Place"
1692,1994,"Mount Brown, St. James's Hospital"
1693,1995,"James Street, St James Hospital"
1694,1996,"James Street, Echlin Street"
1695,1997,"Thomas Street, Watling St"
1696,1998,"Thomas Street, Bridgefoot Street"
1697,1999,"Thomas Street, Francis Street"
1698,2001,"High Street, St. Audeon's Church"
1699,2002,"Lord Edward St, Fishamble Street"
1703,7,"Parnell Square, Rotunda Hospital"
1704,11,"Dorset St, St. Joseph's Parade"
1713,86,"Griffith Avenue, Drumcondra Rd"
1714,87,"Griffith Avenue, Clare Road"
1715,88,"Griffith Avenue, Walnut Rise"
1716,89,"Griffith Avenue, Lambay Road"
1726,102,"Balbutcher Lane, Silloge Road"
1727,6239,"Balbutcher Lane, Dolmen Court"
1728,104,"Balbutcher Lane, Belclare Crescent"
1729,6241,"Balbutcher Lane, Crannogue Road"
1730,105,"Balbutcher Lane, Poppintree Park Lane"
1731,6253,"Balbutcher Lane, Balbutcher Drive"
1732,7191,"Balbutcher Lane, Balbutcher Way"
1733,6238,"Balbutcher Lane, Ballymun Main Street"
1737,6234,"Old Airport Rd, Harristown Depot"
2407,248,"Maryfield Drive, Kilmore Road"
2408,249,"Kilmore Rd, Artane Castle"
2409,250,"Skelly's Lane, Whitethorn Crescent"
2410,251,"Skelly's Lane, Elmount Crescent"
2411,252,"Skelly's Lane, Beaumont Hospital"
2412,255,"Beaumont Road, Coolgreena Road"
2413,234,"Beaumont Road, Beaumont Grove"
2414,235,"Beaumont Road, Collinswood"
2415,236,"Beaumont Road, Yellow Road"
2416,1190,"Collins Ave, Collinswood"
2417,1191,"Collins Ave, Grace Park Heights"
2418,1192,"Collins Ave, Celtic Park Road"
2419,1193,"Collins Ave, Grace Park Meadows"
2420,1194,"Collins Ave, Belton Park Road"
2421,1195,"Collins Ave, Oak Road"
2422,664,"Malahide Road, Donnycarney Church"
2423,665,"Malahide Road, Casino Park"
2424,666,"Malahide Road, Mount Temple School"
2425,667,"Malahide Road, Griffith Avenue"
2426,668,"Malahide Road, Marino Crescent"
2427,614,"Fairview, Fairview Footbridge"
